id1,id2,title1,title2,jaccard_similarity
0708.3776,0708.3779,Comment: Fisher Lecture: Dimension Reduction in Regression,Comment: Fisher Lecture: Dimension Reduction in Regression,1.0
0708.3777,0708.3779,Comment: Fisher Lecture: Dimension Reduction in Regression,Comment: Fisher Lecture: Dimension Reduction in Regression,1.0
0708.1068,0709.0595,Capability of multi-detector analyses on supernova neutrinos,Observables in multi-detector analyses of supernova neutrinos,1.0
0708.0098,0708.0132,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0089,0708.0124,"Discussion of \"2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization\" by V. Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0089,0708.0094,"Discussion of \"2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization\" by V. Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0089,0708.0132,"Discussion of \"2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization\" by V. Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0098,0708.0121,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0704.2327,0704.2331,Symmetries in the system of type $A_5^{(2)}$,Symmetries in the system of type $D_4^{(1)}$,1.0
0704.0489,0704.0573,"Relativistic treatment in D-dimensions to a spin-zero particle with
  noncentral equal scalar and vector ring-shaped Kratzer potential","Elativistic treatment in}$D$ - Dimensions to a spin-zero particle with
  noncentral equal scalar and vector ring-shaped Kratzer potential",1.0
0708.0094,0708.0124,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0121,0708.0132,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0287,0708.0288,Comment: Expert Elicitation for Reliable System Design,Comment: Expert Elicitation for Reliable System Design,1.0
0707.2854,0710.0722,"Boost invariance of the gravitational field dynamics: quantization
  without time gauge",Boost symmetry in the Quantum Gravity sector,1.0
0708.0089,0708.0121,"Discussion of \"2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization\" by V. Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0704.0026,0704.0112,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill
  Infinite-Dimensional Skies","Placeholder Substructures III: A Bit-String-Driven ''Recipe Theory'' for
  Infinite-Dimensional Zero-Divisor Spaces",1.0
0704.3882,0710.2085,Screening masses in the SU(3) pure gauge theory and universality,Screening masses in the SU(3) pure gauge theory and universality,1.0
0707.3537,0710.0347,"Diquark Representations for Singly Heavy Baryons with Light Staggered
  Quarks",Staggered Diquarks for the Singly Heavy Baryons,1.0
0705.4660,0708.2404,"Unquenching effects on the coefficients of the L\\\"uscher-Weisz action","Unquenching Effects on the Coefficients of the L\\\"uscher-Weisz Action",1.0
0708.0285,0708.0288,Comment: Expert Elicitation for Reliable System Design,Comment: Expert Elicitation for Reliable System Design,1.0
0708.0098,0708.0124,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0124,0708.0132,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0121,0708.0124,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0706.1692,0706.2732,"A Methodology for Efficient Space-Time Adapter Design Space Exploration:
  A Case Study of an Ultra Wide Band Interleaver",A Design Methodology for Space-Time Adapter,1.0
0708.0317,0708.0338,"Comment: Monitoring Networked Applications With Incremental Quantile
  Estimation","Comment: Monitoring Networked Applications With Incremental Quantile
  Estimation",1.0
0705.2762,0705.2764,Complementarity in the Bohr-Einstein Photon Box,Complementarity in the Einstein-Bohr Photon Box,1.0
0708.0285,0708.0287,Comment: Expert Elicitation for Reliable System Design,Comment: Expert Elicitation for Reliable System Design,1.0
0705.0328,0705.0330,"The Dynamical State fo the Starless Dense Core FeSt 1-457: A Pulsating
  Globule?","The Dynamical State of the Starless Dense Core FeSt 1-457: A Pulsating
  Globule?",1.0
0708.0094,0708.0132,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0089,0708.0098,"Discussion of \"2004 IMS Medallion Lecture: Local Rademacher complexities
  and oracle inequalities in risk minimization\" by V. Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.0094,0708.0121,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0708.3776,0708.3777,Comment: Fisher Lecture: Dimension Reduction in Regression,Comment: Fisher Lecture: Dimension Reduction in Regression,1.0
0705.0233,0705.0403,"Coordination for a Group of Autonomous Mobile Agents with Multiple
  Leaders","Tracking control for multi-agent consensus with an active leader and
  variable topology",1.0
0708.0094,0708.0098,"Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii","Discussion of ``2004 IMS Medallion Lecture: Local Rademacher
  complexities and oracle inequalities in risk minimization'' by V.
  Koltchinskii",1.0
0709.4119,0710.0377,"Idempotent and tropical mathematics and problems of mathematical physics
  (Volume II)","Idempotent and tropical mathematics and problems of mathematical physics
  (Volume I)",1.0
0709.0683,0709.0686,"Framework for a low-cost intra-operative image-guided neuronavigator
  including brain shift compensation","Bio-Mechanical Model of the Brain for a Per-Operative Image-Guided
  Neuronavigator Compensating for \"Brain-Shift\" Deformations",1.0
0706.1323,0706.1324,GRB 030329: 3 years of radio afterglow monitoring,GRB 030329: three years of radio afterglow monitoring,1.0
0705.2075,0705.2076,Vanishing and injectivity theorems for LMMP,Notes on the log minimal model program,1.0
0706.0506,0706.0509,"Diffuse Gamma-Rays Produced in Cosmic-Ray Interactions and the TeV-band
  Spectrum of RX J1713.7-3946","Gamma-Rays Produced in Cosmic-Ray Interactions and the TeV-band Spectrum
  of RX J1713.7-3946",1.0
0709.0669,0710.0481,G_2 gauge theory at finite temperature,Confinement: $G_2$ group case,1.0
0707.3744,0710.2437,"16-20 Jupiter mass RV companion orbiting the brown dwarf candidate
  ChaHa8","Discovery of 18 Jupiter mass RV companion orbiting the brown dwarf
  candidate ChaHa8",0.9873417721518988
0705.0982,0707.3666,A New Three-DOF Parallel Mechanism: Milling Machine Applications,Kinematic Analysis of a New Parallel Machine Tool: the Orthoglide,0.9814814814814815
0709.2544,0710.2035,Electroweak Contributions to Squark Pair Production at the LHC,Electroweak Contributions to Squark Pair Production,0.9777777777777777
0706.1137,0709.4015,Automatically Restructuring Practice Guidelines using the GEM DTD,"From Texts to Structured Documents: The Case of Health Practice
  Guidelines",0.9772727272727273
0705.0738,0707.3534,The Optimization of a Novel Prismatic Drive,The Kinetostatic Optimization of a Novel Prismatic Drive,0.9743589743589743
0704.1827,0709.3826,Transaction-Oriented Simulation In Ad Hoc Grids,Research Paper on Transaction-Oriented Simulation In Ad Hoc Grids,0.9672131147540983
0707.3548,0709.1272,Parallel Tiled QR Factorization for Multicore Architectures,"A Class of Parallel Tiled Linear Algebra Algorithms for Multicore
  Architectures",0.9577464788732394
0710.0281,0710.0292,"How to reveal the mysteries of the most obscured high-energy sources of
  our Galaxy, discovered by INTEGRAL?","Obscured sources and Supergiant Fast X-ray Transients: new classes of
  high mass X-ray binaries",0.9545454545454546
